OBJECTNUMMER;Functie;Gedetecteerde_panelen;Vermogen(kwh);LNG;LAT;geometry;subject;region_name;regio_type;region_code;lon;lat
;;;;;;POINT (52.3830668395111 4.85953190340356);Bedrijventerrein Landlust;Amsterdam;Buurt;BU03633700;4.85953190340356;52.3830668395111
;;;;;;POINT (52.3811913018597 4.848227792602549);Bosleeuw;Amsterdam;Buurt;BU03633702;4.8482277926025485;52.3811913018597
;;;;;;POINT (52.37739637318111 4.86071251215293);Landlust Zuid;Amsterdam;Buurt;BU03633703;4.86071251215293;52.37739637318111
;;;;;;POINT (52.3768255936382 4.8564213820398);Erasmusparkbuurt Oost;Amsterdam;Buurt;BU03633704;4.8564213820398;52.3768255936382
;;;;;;POINT (52.38365091811271 4.85294680495805);Gibraltarbuurt;Amsterdam;Buurt;BU03633705;4.85294680495805;52.38365091811271
;;;;;;POINT (52.38078041479661 4.85765351338648);Landlust Noord;Amsterdam;Buurt;BU03633706;4.85765351338648;52.38078041479661
;;;;;;POINT (52.3761507267236 4.85104311701518);Erasmuspark;Amsterdam;Wijk;WK036338;4.85104311701518;52.3761507267236
;;;;;;POINT (52.3765900128615 4.85173781923453);Erasmusparkbuurt West;Amsterdam;Buurt;BU03633802;4.85173781923453;52.3765900128615
;;;;;;POINT (52.37401696791328 4.84766482969733);Robert Scottbuurt Oost;Amsterdam;Buurt;BU03633803;4.84766482969733;52.374016967913285
;;;;;;POINT (52.37779076046129 4.841542322226321);De Kolenkit;Amsterdam;Wijk;WK036339;4.841542322226321;52.377790760461295
;;;;;;POINT (52.37481844852489 4.844671399728441);Robert Scottbuurt West;Amsterdam;Buurt;BU03633900;4.8446713997284405;52.37481844852489
;;;;;;POINT (52.3742380907869 4.83922709009637);Laan van Spartaan;Amsterdam;Buurt;BU03633901;4.83922709009637;52.374238090786896
;;;;;;POINT (52.3771133238151 4.8403743160069);Kolenkitbuurt Zuid;Amsterdam;Buurt;BU03633902;4.8403743160069;52.377113323815095
;;;;;;POINT (52.3815229151379 4.84176859182297);Kolenkitbuurt Noord;Amsterdam;Buurt;BU03633903;4.84176859182297;52.3815229151379
;;;;;;POINT (52.3729304991034 4.86147268472347);Geuzenbuurt;Amsterdam;Wijk;WK036340;4.86147268472347;52.372930499103404
;;;;;;POINT (52.3727484087395 4.864781084482121);Geuzenhofbuurt;Amsterdam;Buurt;BU03634000;4.864781084482121;52.3727484087395
;;;;;;POINT (52.3730833367653 4.86134155164316);Trompbuurt;Amsterdam;Buurt;BU03634001;4.86134155164316;52.3730833367653
;;;;;;POINT (52.372909404232 4.85755130208631);Pieter van der Doesbuurt;Amsterdam;Buurt;BU03634002;4.85755130208631;52.372909404232
;;;;;;POINT (52.3715485705502 4.84971342735697);Van Galenbuurt;Amsterdam;Wijk;WK036341;4.84971342735697;52.3715485705502
;;;;;;POINT (52.3724310475767 4.85457764426438);John Franklinbuurt;Amsterdam;Buurt;BU03634100;4.85457764426438;52.372431047576704
;;;;;;POINT (52.3717107076861 4.85130932691228);Jan Maijenbuurt;Amsterdam;Buurt;BU03634101;4.85130932691228;52.3717107076861
;;;;;;POINT (52.3712413979844 4.84860757901066);Orteliusbuurt Noord;Amsterdam;Buurt;BU03634102;4.84860757901066;52.3712413979844
;;;;;;POINT (52.37089774968571 4.84519003878429);Mercatorpark;Amsterdam;Buurt;BU03634103;4.84519003878429;52.37089774968571
;;;;;;POINT (52.367108798106 4.853509738731518);Hoofdweg e.o.;Amsterdam;Wijk;WK036342;4.8535097387315185;52.367108798106
;;;;;;POINT (52.3693419544571 4.854070469377669);Balboaplein e.o.;Amsterdam;Buurt;BU03634200;4.854070469377669;52.3693419544571
;;;;;;POINT (52.3659920711905 4.85542401412565);Columbusplein e.o.;Amsterdam;Buurt;BU03634201;4.85542401412565;52.3659920711905
;;;;;;POINT (52.3683067265094 4.850349864297759);Orteliusbuurt Midden;Amsterdam;Buurt;BU03634202;4.850349864297759;52.3683067265094
;;;;;;POINT (52.3650825193181 4.851475723454111);Orteliusbuurt Zuid;Amsterdam;Buurt;BU03634203;4.8514757234541115;52.3650825193181
;;;;;;POINT (52.3610398900463 4.85337926032339);Westindische Buurt;Amsterdam;Wijk;WK036343;4.85337926032339;52.3610398900463
;;;;;;POINT (52.3615604320993 4.85552746517195);Paramariboplein e.o.;Amsterdam;Buurt;BU03634300;4.85552746517195;52.361560432099296
;;;;;;POINT (52.3605170888945 4.85127120683526);Postjeskade e.o.;Amsterdam;Buurt;BU03634301;4.85127120683526;52.360517088894504
;;;;;;POINT (52.3485784970955 4.847688982115692);Hoofddorppleinbuurt;Amsterdam;Wijk;WK036344;4.847688982115692;52.3485784970955
;;;;;;POINT (52.35647317550922 4.85223199780775);Surinamepleinbuurt;Amsterdam;Buurt;BU03634400;4.85223199780775;52.356473175509215
;;;;;;POINT (52.35399995966021 4.84787655215946);Westlandgrachtbuurt;Amsterdam;Buurt;BU03634401;4.84787655215946;52.353999959660214
;;;;;;POINT (52.3496657061376 4.84722213101334);Aalsmeerwegbuurt West;Amsterdam;Buurt;BU03634402;4.84722213101334;52.3496657061376
;;;;;;POINT (52.3484913589154 4.84933614565615);Aalsmeerwegbuurt Oost;Amsterdam;Buurt;BU03634403;4.84933614565615;52.348491358915396
;;;;;;POINT (52.3530733109823 4.85168816161228);Legmeerpleinbuurt;Amsterdam;Buurt;BU03634404;4.85168816161228;52.353073310982296
;;;;;;POINT (52.3428665929931 4.84533959559226);Bedrijventerrein Schinkel;Amsterdam;Buurt;BU03634405;4.84533959559226;52.3428665929931
;;;;;;POINT (52.34946542829479 4.853760275211219);Schinkelbuurt;Amsterdam;Wijk;WK036345;4.8537602752112186;52.34946542829479
;;;;;;POINT (52.3531829479183 4.854474937619889);Schinkelbuurt Noord;Amsterdam;Buurt;BU03634500;4.854474937619889;52.3531829479183
;;;;;;POINT (52.3477678956458 4.85341349401395);Schinkelbuurt Zuid;Amsterdam;Buurt;BU03634501;4.85341349401395;52.3477678956458
;;;;;;POINT (52.35409261561111 4.86232310174548);Willemspark;Amsterdam;Wijk;WK036346;4.86232310174548;52.35409261561111
;;;;;;POINT (52.3528365494879 4.867152720799941);Valeriusbuurt Oost;Amsterdam;Buurt;BU03634600;4.8671527207999405;52.3528365494879
;;;;;;POINT (52.35135811030739 4.86137530928401);Valeriusbuurt West;Amsterdam;Buurt;BU03634601;4.86137530928401;52.351358110307395
;;;;;;POINT (52.3539504826118 4.86121208370616);Willemsparkbuurt Noord;Amsterdam;Buurt;BU03634602;4.86121208370616;52.3539504826118
;;;;;;POINT (52.3563705487779 4.86134797357622);Vondelpark West;Amsterdam;Buurt;BU03634603;4.86134797357622;52.356370548777896
;;;;;;POINT (52.3562199669302 4.878003611369969);Museumkwartier;Amsterdam;Wijk;WK036347;4.8780036113699685;52.3562199669302
;;;;;;POINT (52.3560838621946 4.88404396360991);Johannnes Vermeerbuurt;Amsterdam;Buurt;BU03634700;4.88404396360991;52.3560838621946
;;;;;;POINT (52.36009393602451 4.88109556103054);P.C. Hooftbuurt;Amsterdam;Buurt;BU03634701;4.88109556103054;52.360093936024505
;;;;;;POINT (52.3573110850113 4.87689927563958);Concertgebouwbuurt;Amsterdam;Buurt;BU03634702;4.87689927563958;52.357311085011304
;;;;;;POINT (52.35561929775159 4.87180662329986);Cornelis Schuytbuurt;Amsterdam;Buurt;BU03634703;4.87180662329986;52.355619297751595
;;;;;;POINT (52.353013744701 4.87445016418413);Banpleinbuurt;Amsterdam;Buurt;BU03634704;4.87445016418413;52.353013744701
;;;;;;POINT (52.3536273144977 4.879298859484);Hondecoeterbuurt;Amsterdam;Buurt;BU03634705;4.879298859484;52.3536273144977
;;;;;;POINT (52.3511654491088 4.883732105788821);Harmoniehofbuurt;Amsterdam;Buurt;BU03634706;4.8837321057888206;52.3511654491088
;;;;;;POINT (52.3585685121927 4.88293479377488);Museumplein;Amsterdam;Buurt;BU03634707;4.88293479377488;52.358568512192704
;;;;;;POINT (52.3590858564877 4.8719178730954);Vondelpark Oost;Amsterdam;Buurt;BU03634708;4.8719178730954;52.3590858564877
;;;;;;POINT (52.3533785085472 4.88472737613239);Duivelseiland;Amsterdam;Buurt;BU03634709;4.88472737613239;52.3533785085472
;;;;;;POINT (52.3444894782546 4.857929762715361);Stadionbuurt;Amsterdam;Wijk;WK036348;4.8579297627153615;52.3444894782546
;;;;;;POINT (52.3491932800655 4.85914843876263);Bertelmanpleinbuurt;Amsterdam;Buurt;BU03634800;4.85914843876263;52.3491932800655
;;;;;;POINT (52.3485516960768 4.86470191742379);Marathonbuurt Oost;Amsterdam;Buurt;BU03634801;4.86470191742379;52.3485516960768
