OBJECTNUMMER;Functie;Gedetecteerde_panelen;Vermogen(kwh);LNG;LAT;WKT_LAT_LNG
2431;Wonen;9.4;2000;4.808.064;52.347.047;POINT(52.347047,4.808064)
2432;Wonen;9.4;2000;4.994.581;52.353.446;POINT(52.353446,4.994581)
2433;Wonen;9.4;2000;4.893.929;5.241.062;POINT(52.41062,4.893929)
2434;Wonen;9.4;2000;4.807.715;52.349.515;POINT(52.349515,4.807715)
2435;Wonen;9.4;2000;4.890.226;52.409.499;POINT(52.409499,4.890226)
2436;Wonen;6;1000;4.807.305;52.343.195;POINT(52.343195,4.807305)
2437;NietWonen;48;12000;5.001.105;5.235.419;POINT(52.35419,5.001105)
2438;Wonen;9.4;2000;4.852.943;52.360.317;POINT(52.360317,4.852943)
2439;Wonen;9.4;2000;4.970.146;52.304.117;POINT(52.304117,4.970146)
2440;Wonen;9.4;2000;4.990.736;52.298.013;POINT(52.298013,4.990736)
2441;Wonen;9;2000;4.943.379;52.358.662;POINT(52.358662,4.943379)
2442;Wonen;8;2000;4.932.473;52.355.844;POINT(52.355844,4.932473)
2443;NietWonen;93;23000;484.548;52.373.157;POINT(52.373157,4.84548)
2444;Wonen;4;1000;489.316;52.343.169;POINT(52.343169,4.89316)
2445;Wonen;9.4;2000;49.619;52.321.833;POINT(52.321833,4.9619)
2446;Wonen;9.4;2000;4.831.078;52.367.725;POINT(52.367725,4.831078)
2447;Wonen;54;14000;4.927.689;52.354.038;POINT(52.354038,4.927689)
2448;Wonen;9.4;2000;4.836.895;52.383.171;POINT(52.383171,4.836895)
2449;Wonen;9.4;2000;4.822.349;52.374.439;POINT(52.374439,4.822349)
2450;NietWonen;36;9000;4.805.381;52.344.467;POINT(52.344467,4.805381)
2451;Wonen;9.4;2000;4.893.253;52.346.074;POINT(52.346074,4.893253)
2452;Wonen;9.4;2000;49.805;52.327.269;POINT(52.327269,4.9805)
2453;Wonen;9.4;2000;4.896.631;52.420.647;POINT(52.420647,4.896631)
2454;Wonen;9.4;2000;4.994.692;52.298.024;POINT(52.298024,4.994692)
2455;Wonen;8;2000;4.860.917;52.351.378;POINT(52.351378,4.860917)
2456;Wonen;9.4;2000;4.999.248;52.356.619;POINT(52.356619,4.999248)
2457;Wonen;3;1000;4.942.769;52.353.247;POINT(52.353247,4.942769)
2458;Wonen;9.4;2000;4.815.028;5.234.699;POINT(52.34699,4.815028)
2459;Wonen;9.4;2000;4.859.996;52.331.913;POINT(52.331913,4.859996)
