OBJECTNUMMER;Functie;Gedetecteerde_panelen;Vermogen(kwh);LNG;LAT;WKT_LAT_LNG
732;Wonen;9.4;2000;4.985.188;52.325.123;POINT(52.325123,4.985188)
733;Wonen;20;5000;4.827.553;52.364.907;POINT(52.364907,4.827553)
734;Wonen;9.4;2000;499.112;52.359.933;POINT(52.359933,4.99112)
735;Wonen;3;1000;4.873.392;52.390.193;POINT(52.390193,4.873392)
736;NietWonen;42;10000;4.911.558;52.406.916;POINT(52.406916,4.911558)
737;Wonen;9.4;2000;4.948.911;52.343.366;POINT(52.343366,4.948911)
738;Wonen;9.4;2000;4.797.885;52.340.796;POINT(52.340796,4.797885)
739;Wonen;9.4;2000;4.969.506;52.303.573;POINT(52.303573,4.969506)
740;Wonen;9.4;2000;482.658;52.360.493;POINT(52.360493,4.82658)
741;Wonen;7;2000;4.910.333;5.234.667;POINT(52.34667,4.910333)
742;Wonen;9.4;2000;4.780.203;52.347.171;POINT(52.347171,4.780203)
743;Wonen;9.4;2000;4.860.628;52.354.001;POINT(52.354001,4.860628)
744;Wonen;9.4;2000;4.968.649;5.230.328;POINT(52.30328,4.968649)
745;NietWonen;157;38000;4.872.339;52.331.272;POINT(52.331272,4.872339)
746;Wonen;9.4;2000;4.770.837;52.352.689;POINT(52.352689,4.770837)
747;Wonen;9.4;2000;489.594;52.423.753;POINT(52.423753,4.89594)
748;Wonen;20;5000;4.831.243;52.350.683;POINT(52.350683,4.831243)
749;NietWonen;42;10000;4.839.827;52.365.763;POINT(52.365763,4.839827)
750;NietWonen;27;7000;493.154;52.374.756;POINT(52.374756,4.93154)
751;Wonen;9.4;2000;4.860.763;52.353.594;POINT(52.353594,4.860763)
752;Wonen;9.4;2000;4.897.488;5.242.164;POINT(52.42164,4.897488)
753;Wonen;9.4;2000;499.009;52.298.707;POINT(52.298707,4.99009)
754;Wonen;15;4000;4.976.265;52.362.139;POINT(52.362139,4.976265)
755;Wonen;14;3000;4.828.231;52.364.812;POINT(52.364812,4.828231)
756;NietWonen;98;25000;4.933.011;52.336.647;POINT(52.336647,4.933011)
757;Wonen;9.4;2000;4.819.498;52.374.148;POINT(52.374148,4.819498)
758;Wonen;9.4;2000;4.982.144;52.325.803;POINT(52.325803,4.982144)
759;Wonen;9.4;2000;4.783.601;52.345.956;POINT(52.345956,4.783601)
760;Wonen;9.4;2000;4.947.917;52.401.145;POINT(52.401145,4.947917)
761;Wonen;16;4000;4.884.781;52.350.079;POINT(52.350079,4.884781)
762;Wonen;3;1000;4.945.639;52.373.658;POINT(52.373658,4.945639)
763;Wonen;9.4;2000;4.780.741;52.352.154;POINT(52.352154,4.780741)
764;Wonen;9.4;2000;4.996.083;52.298.023;POINT(52.298023,4.996083)
765;Wonen;9.4;2000;4.896.348;52.418.983;POINT(52.418983,4.896348)
766;Wonen;9.4;2000;4.906.458;52.402.469;POINT(52.402469,4.906458)
767;Wonen;9.4;2000;4.964.539;52.324.994;POINT(52.324994,4.964539)
768;NietWonen;9.4;2000;4.991.132;52.357.077;POINT(52.357077,4.991132)
769;Wonen;9.4;2000;4.998.693;52.356.301;POINT(52.356301,4.998693)
770;Wonen;6;1000;4.812.831;5.235.023;POINT(52.35023,4.812831)
771;NietWonen;91;22000;4.902.149;52.419.058;POINT(52.419058,4.902149)
772;Wonen;9.4;2000;4.968.438;5.230.318;POINT(52.30318,4.968438)
773;NietWonen;26;6000;4.858.498;5.238.065;POINT(52.38065,4.858498)
774;Wonen;48;12000;4.885.304;52.350.451;POINT(52.350451,4.885304)
775;NietWonen;9.4;2000;4.908.502;52.354.133;POINT(52.354133,4.908502)
776;Wonen;16;4000;4.979.148;52.327.499;POINT(52.327499,4.979148)
777;Wonen;14;3000;4.995.116;52.356.574;POINT(52.356574,4.995116)
778;NietWonen;28;7000;4.964.928;52.299.065;POINT(52.299065,4.964928)
779;Wonen;9.4;2000;4.915.406;52.395.361;POINT(52.395361,4.915406)
780;NietWonen;43;11000;4.911.141;52.407.104;POINT(52.407104,4.911141)
781;Wonen;9.4;2000;4.783.133;5.234.845;POINT(52.34845,4.783133)
782;Wonen;9.4;2000;4.977.637;52.291.268;POINT(52.291268,4.977637)
783;NietWonen;64;16000;487.029;52.350.896;POINT(52.350896,4.87029)
784;Wonen;9.4;2000;4.818.914;5.234.828;POINT(52.34828,4.818914)
785;Wonen;9.4;2000;496.243;52.319.899;POINT(52.319899,4.96243)
786;Wonen;9.4;2000;4.898.877;52.409.992;POINT(52.409992,4.898877)
787;Wonen;9.4;2000;4.994.027;52.356.888;POINT(52.356888,4.994027)
788;Wonen;9.4;2000;4.993.979;52.356.854;POINT(52.356854,4.993979)
789;NietWonen;9.4;2000;494.882;52.374.003;POINT(52.374003,4.94882)
790;Wonen;9.4;2000;4.795.191;52.383.671;POINT(52.383671,4.795191)
791;Wonen;9.4;2000;4.981.923;52.360.697;POINT(52.360697,4.981923)
792;Wonen;9.4;2000;4.980.397;52.328.938;POINT(52.328938,4.980397)
793;Wonen;2;0;4.942.278;5.236.468;POINT(52.36468,4.942278)
794;NietWonen;59;14000;4.946.631;523.482;POINT(52.3482,4.946631)
795;NietWonen;19;5000;4.800.244;52.382.205;POINT(52.382205,4.800244)
796;Wonen;9.4;2000;478.817;52.347.991;POINT(52.347991,4.78817)
797;Wonen;9.4;2000;492.427;52.407.271;POINT(52.407271,4.92427)
798;Wonen;3;1000;4.938.396;52.351.133;POINT(52.351133,4.938396)
799;Wonen;9.4;2000;4.978.243;52.327.848;POINT(52.327848,4.978243)
800;Wonen;9.4;2000;4.857.451;52.352.861;POINT(52.352861,4.857451)
801;Wonen;9.4;2000;4.890.845;52.423.981;POINT(52.423981,4.890845)
802;Wonen;9.4;2000;4.801.513;52.354.697;POINT(52.354697,4.801513)
803;Wonen;9.4;2000;4.792.075;52.348.001;POINT(52.348001,4.792075)
804;Wonen;9.4;2000;4.800.158;52.383.056;POINT(52.383056,4.800158)
805;Wonen;9.4;2000;4.980.163;5.232.182;POINT(52.32182,4.980163)
806;Wonen;10;2000;4.875.756;52.416.528;POINT(52.416528,4.875756)
807;Wonen;9.4;2000;4.808.775;52.347.199;POINT(52.347199,4.808775)
808;Wonen;9.4;2000;4.789.831;52.382.604;POINT(52.382604,4.789831)
809;NietWonen;9.4;2000;4.942.314;52.371.441;POINT(52.371441,4.942314)
810;Wonen;9.4;2000;4.961.598;52.308.045;POINT(52.308045,4.961598)
811;Wonen;9.4;2000;4.980.669;52.320.181;POINT(52.320181,4.980669)
812;Wonen;9.4;2000;4.979.832;52.326.946;POINT(52.326946,4.979832)
813;Wonen;9.4;2000;4.973.688;52.289.066;POINT(52.289066,4.973688)
814;Wonen;9.4;2000;477.496;52.352.107;POINT(52.352107,4.77496)
815;Wonen;9.4;2000;4.791.743;52.346.026;POINT(52.346026,4.791743)
816;Wonen;9.4;2000;497.955;52.327.183;POINT(52.327183,4.97955)
817;Wonen;9.4;2000;4.777.441;52.348.791;POINT(52.348791,4.777441)
818;Wonen;9.4;2000;4.824.705;52.342.771;POINT(52.342771,4.824705)
819;NietWonen;36;9000;4.805.765;52.344.538;POINT(52.344538,4.805765)
820;Wonen;9.4;2000;4.830.409;52.368.267;POINT(52.368267,4.830409)
821;Wonen;9.4;2000;4.772.308;52.350.592;POINT(52.350592,4.772308)
822;Wonen;9.4;2000;4.825.901;52.361.546;POINT(52.361546,4.825901)
823;Wonen;9.4;2000;4.781.982;52.347.376;POINT(52.347376,4.781982)
824;Wonen;9.4;2000;4.824.519;52.376.799;POINT(52.376799,4.824519)
825;Wonen;32;8000;4.885.275;5.235.017;POINT(52.35017,4.885275)
826;Wonen;3;1000;490.764;52.343.995;POINT(52.343995,4.90764)
827;Wonen;9.4;2000;4.876.918;52.417.608;POINT(52.417608,4.876918)
828;NietWonen;21;5000;4.858.893;52.380.905;POINT(52.380905,4.858893)
829;Wonen;9.4;2000;4.897.461;52.417.092;POINT(52.417092,4.897461)
830;NietWonen;27;7000;4.965.054;52.298.886;POINT(52.298886,4.965054)
831;Wonen;9.4;2000;4.885.991;52.416.679;POINT(52.416679,4.885991)
832;Wonen;9.4;2000;4.865.302;52.326.319;POINT(52.326319,4.865302)
833;Wonen;9.4;2000;4.980.303;52.328.893;POINT(52.328893,4.980303)
834;Wonen;9.4;2000;4.803.998;52.354.291;POINT(52.354291,4.803998)
835;Wonen;9.4;2000;4.968.789;52.299.609;POINT(52.299609,4.968789)
836;Wonen;9.4;2000;4.954.635;52.399.386;POINT(52.399386,4.954635)
837;NietWonen;6;1000;4.875.925;5.236.476;POINT(52.36476,4.875925)
838;Wonen;9.4;2000;4.968.455;52.301.989;POINT(52.301989,4.968455)
839;Wonen;9.4;2000;4.976.012;52.362.035;POINT(52.362035,4.976012)
840;Wonen;9.4;2000;4.881.039;52.348.211;POINT(52.348211,4.881039)
841;Wonen;9.4;2000;4.878.709;52.349.562;POINT(52.349562,4.878709)
842;Wonen;9.4;2000;4.921.662;52.357.705;POINT(52.357705,4.921662)
843;Wonen;9.4;2000;4.805.521;52.354.403;POINT(52.354403,4.805521)
844;NietWonen;13;3000;4.991.198;52.359.355;POINT(52.359355,4.991198)
845;Wonen;9.4;2000;495.493;52.390.219;POINT(52.390219,4.95493)
846;Wonen;9.4;2000;4.836.984;52.383.573;POINT(52.383573,4.836984)
847;Wonen;9.4;2000;4.807.309;52.343.064;POINT(52.343064,4.807309)
848;Wonen;9.4;2000;4.804.653;52.352.752;POINT(52.352752,4.804653)
849;Wonen;9.4;2000;4.860.913;52.325.058;POINT(52.325058,4.860913)
850;NietWonen;9.4;2000;4.992.048;52.357.895;POINT(52.357895,4.992048)
851;Wonen;9.4;2000;4.982.346;52.327.859;POINT(52.327859,4.982346)
852;Wonen;9.4;2000;4.964.988;52.303.504;POINT(52.303504,4.964988)
853;Wonen;9.4;2000;4.820.717;52.353.756;POINT(52.353756,4.820717)
854;Wonen;9.4;2000;4.790.122;52.348.417;POINT(52.348417,4.790122)
855;Wonen;9.4;2000;4.820.477;52.354.033;POINT(52.354033,4.820477)
856;NietWonen;46;11000;4.835.323;52.367.205;POINT(52.367205,4.835323)
857;Wonen;5;1000;4.890.154;52.345.463;POINT(52.345463,4.890154)
858;Wonen;42;10000;4.934.976;52.361.734;POINT(52.361734,4.934976)
859;NietWonen;65;16000;4.910.706;52.405.759;POINT(52.405759,4.910706)
860;Wonen;9.4;2000;4.925.944;52.408.792;POINT(52.408792,4.925944)
861;Wonen;3;1000;4.948.131;52.387.007;POINT(52.387007,4.948131)
862;Wonen;10;3000;493.689;52.353.474;POINT(52.353474,4.93689)
863;Wonen;2;1000;4.864.049;52.367.465;POINT(52.367465,4.864049)
864;Wonen;9.4;2000;4.977.463;52.327.587;POINT(52.327587,4.977463)
865;Wonen;9.4;2000;4.996.524;5.230.083;POINT(52.30083,4.996524)
866;Wonen;14;3000;4.884.401;52.355.014;POINT(52.355014,4.884401)
867;Wonen;9.4;2000;4.832.905;52.367.557;POINT(52.367557,4.832905)
868;Wonen;9.4;2000;4.824.508;52.343.731;POINT(52.343731,4.824508)
869;NietWonen;21;5000;5.006.394;52.348.142;POINT(52.348142,5.006394)
870;Wonen;9.4;2000;4.887.848;52.411.526;POINT(52.411526,4.887848)
871;Wonen;9.4;2000;4.808.146;52.348.773;POINT(52.348773,4.808146)
872;Wonen;9.4;2000;4.896.434;5.241.683;POINT(52.41683,4.896434)
873;Wonen;9.4;2000;4.961.839;52.320.396;POINT(52.320396,4.961839)
874;NietWonen;78;20000;4.885.683;52.413.197;POINT(52.413197,4.885683)
875;Wonen;9.4;2000;4.996.238;52.358.225;POINT(52.358225,4.996238)
876;Wonen;9.4;2000;4.966.173;52.407.003;POINT(52.407003,4.966173)
877;Wonen;9.4;2000;4.984.928;52.324.868;POINT(52.324868,4.984928)
878;NietWonen;9.4;2000;4.810.481;52.374.185;POINT(52.374185,4.810481)
879;Wonen;42;10000;4.934.752;52.361.682;POINT(52.361682,4.934752)
880;Wonen;3;1000;4.899.054;52.345.556;POINT(52.345556,4.899054)
881;Wonen;9.4;2000;4.995.071;52.299.941;POINT(52.299941,4.995071)
882;Wonen;9.4;2000;501.827;52.306.376;POINT(52.306376,5.01827)
883;Wonen;9;2000;4.873.937;52.355.591;POINT(52.355591,4.873937)
884;Wonen;68;17000;4.940.919;52.395.998;POINT(52.395998,4.940919)
885;Wonen;9.4;2000;4.822.264;52.374.812;POINT(52.374812,4.822264)
886;Wonen;9.4;2000;4.812.599;52.350.228;POINT(52.350228,4.812599)
887;Wonen;9.4;2000;495.051;52.342.374;POINT(52.342374,4.95051)
888;Wonen;9.4;2000;4.886.742;52.424.207;POINT(52.424207,4.886742)
889;Wonen;9.4;2000;4.860.915;52.330.609;POINT(52.330609,4.860915)
890;NietWonen;8;2000;4.857.085;52.328.656;POINT(52.328656,4.857085)
891;Wonen;9.4;2000;4.980.345;52.326.536;POINT(52.326536,4.980345)
892;Wonen;9.4;2000;4.809.493;52.342.794;POINT(52.342794,4.809493)
893;Wonen;9.4;2000;4.782.958;52.348.537;POINT(52.348537,4.782958)
894;Wonen;11;3000;4.800.262;52.344.509;POINT(52.344509,4.800262)
895;Wonen;9.4;2000;4.925.987;52.390.968;POINT(52.390968,4.925987)
896;Wonen;9.4;2000;4.829.492;5.236.667;POINT(52.36667,4.829492)
897;Wonen;9.4;2000;4.792.847;52.382.374;POINT(52.382374,4.792847)
898;Wonen;9.4;2000;4.938.978;52.348.147;POINT(52.348147,4.938978)
899;Wonen;9.4;2000;4.880.633;52.348.542;POINT(52.348542,4.880633)
900;Wonen;9.4;2000;4.992.624;52.299.942;POINT(52.299942,4.992624)
901;Wonen;9.4;2000;4.863.795;52.326.724;POINT(52.326724,4.863795)
902;Wonen;9.4;2000;4.776.259;52.351.243;POINT(52.351243,4.776259)
903;Wonen;9;2000;4.864.552;52.368.202;POINT(52.368202,4.864552)
904;NietWonen;4;1000;4.928.102;52.386.177;POINT(52.386177,4.928102)
905;NietWonen;217;54000;4.987.721;52.294.381;POINT(52.294381,4.987721)
906;Wonen;9.4;2000;4.961.669;52.321.421;POINT(52.321421,4.961669)
907;Wonen;9.4;2000;4.805.525;52.372.934;POINT(52.372934,4.805525)
908;Wonen;9.4;2000;4.824.508;52.361.296;POINT(52.361296,4.824508)
909;Wonen;9.4;2000;4.901.566;52.409.873;POINT(52.409873,4.901566)
910;Wonen;9.4;2000;483.718;52.382.797;POINT(52.382797,4.83718)
911;Wonen;9.4;2000;491.938;52.401.761;POINT(52.401761,4.91938)
912;Wonen;9.4;2000;4.888.861;52.411.048;POINT(52.411048,4.888861)
913;Wonen;9.4;2000;4.954.734;52.399.043;POINT(52.399043,4.954734)
914;Wonen;9.4;2000;4.970.025;52.289.826;POINT(52.289826,4.970025)
915;Wonen;6;1000;4.862.346;52.352.052;POINT(52.352052,4.862346)
916;NietWonen;56;14000;4.910.927;52.353.419;POINT(52.353419,4.910927)
917;Wonen;9.4;2000;4.969.267;52.303.507;POINT(52.303507,4.969267)
918;NietWonen;190;47000;4.873.166;52.330.938;POINT(52.330938,4.873166)
919;Wonen;9.4;2000;4.873.852;52.343.677;POINT(52.343677,4.873852)
920;Wonen;4;1000;4.921.959;52.357.173;POINT(52.357173,4.921959)
921;Wonen;9.4;2000;4.787.139;52.345.719;POINT(52.345719,4.787139)
922;Wonen;160;39000;4.942.579;52.377.422;POINT(52.377422,4.942579)
923;Wonen;9.4;2000;4.938.782;52.348.264;POINT(52.348264,4.938782)
924;Wonen;9.4;2000;4.998.415;52.355.621;POINT(52.355621,4.998415)
925;Wonen;9.4;2000;4.904.386;52.411.405;POINT(52.411405,4.904386)
926;Wonen;9.4;2000;4.830.929;52.375.772;POINT(52.375772,4.830929)
927;Wonen;10;2000;4.936.173;5.235.678;POINT(52.35678,4.936173)
928;Wonen;47;12000;4.933.837;52.361.714;POINT(52.361714,4.933837)
929;Wonen;9.4;2000;478.924;5.234.949;POINT(52.34949,4.78924)
930;Wonen;9.4;2000;4.994.756;52.356.766;POINT(52.356766,4.994756)
931;Wonen;6;1000;4.826.368;52.361.696;POINT(52.361696,4.826368)
932;NietWonen;23;6000;4.799.805;52.381.527;POINT(52.381527,4.799805)
933;Wonen;9.4;2000;499.598;52.351.653;POINT(52.351653,4.99598)
934;Wonen;9.4;2000;4.829.477;52.367.186;POINT(52.367186,4.829477)
935;Wonen;31;8000;4.935.546;52.362.114;POINT(52.362114,4.935546)
936;NietWonen;9.4;2000;4.875.746;52.381.552;POINT(52.381552,4.875746)
937;Wonen;9.4;2000;4.792.027;52.347.954;POINT(52.347954,4.792027)
938;Wonen;9.4;2000;4.807.942;52.344.041;POINT(52.344041,4.807942)
939;Wonen;9.4;2000;4.982.418;52.327.514;POINT(52.327514,4.982418)
940;NietWonen;22;6000;4.831.467;52.380.528;POINT(52.380528,4.831467)
941;Wonen;9.4;2000;4.997.703;5.230.094;POINT(52.30094,4.997703)
942;NietWonen;362;89000;4.887.206;52.390.367;POINT(52.390367,4.887206)
943;Wonen;9.4;2000;4.902.823;52.410.295;POINT(52.410295,4.902823)
944;Wonen;9.4;2000;4.982.696;52.326.128;POINT(52.326128,4.982696)
945;Wonen;3;1000;4.859.333;52.370.215;POINT(52.370215,4.859333)
946;Wonen;9.4;2000;4.825.792;52.344.192;POINT(52.344192,4.825792)
947;NietWonen;20;5000;4.855.972;5.234.441;POINT(52.34441,4.855972)
948;Wonen;9.4;2000;4.932.489;52.345.348;POINT(52.345348,4.932489)
949;Wonen;9.4;2000;498.192;52.328.214;POINT(52.328214,4.98192)
950;Wonen;9.4;2000;4.956.638;52.387.821;POINT(52.387821,4.956638)
951;Wonen;9.4;2000;4.931.979;52.345.337;POINT(52.345337,4.931979)
952;NietWonen;44;11000;4.835.591;52.367.208;POINT(52.367208,4.835591)
953;NietWonen;22;5000;4.908.204;523.819;POINT(52.3819,4.908204)
954;Wonen;9.4;2000;4.774.955;52.351.417;POINT(52.351417,4.774955)
955;NietWonen;114;28000;4.864.848;52.384.858;POINT(52.384858,4.864848)
956;NietWonen;198;50000;4.922.081;5.237.685;POINT(52.37685,4.922081)
957;NietWonen;22;5000;4.950.084;52.367.977;POINT(52.367977,4.950084)
958;NietWonen;182;45000;4.821.479;52.392.682;POINT(52.392682,4.821479)
959;NietWonen;109;27000;4.815.389;52.345.901;POINT(52.345901,4.815389)
960;Wonen;9.4;2000;4.812.612;52.349.095;POINT(52.349095,4.812612)
961;Wonen;9.4;2000;4.832.359;52.369.295;POINT(52.369295,4.832359)
962;Wonen;9.4;2000;4.999.812;52.299.959;POINT(52.299959,4.999812)
963;Wonen;9.4;2000;4.952.575;52.317.454;POINT(52.317454,4.952575)
964;Wonen;9.4;2000;4.993.781;52.300.565;POINT(52.300565,4.993781)
965;Wonen;9.4;2000;4.887.463;52.422.324;POINT(52.422324,4.887463)
966;Wonen;9.4;2000;4.998.243;52.356.129;POINT(52.356129,4.998243)
967;Wonen;4;1000;4.867.067;52.353.558;POINT(52.353558,4.867067)
968;NietWonen;9.4;2000;4.796.439;5.235.222;POINT(52.35222,4.796439)
969;NietWonen;6;1000;4.938.104;52.390.593;POINT(52.390593,4.938104)
970;Wonen;9.4;2000;4.995.303;52.301.097;POINT(52.301097,4.995303)
971;Wonen;8;2000;4.819.853;52.347.031;POINT(52.347031,4.819853)
972;Wonen;9.4;2000;4.907.738;52.412.776;POINT(52.412776,4.907738)
973;Wonen;9.4;2000;4.894.993;52.420.667;POINT(52.420667,4.894993)
974;Wonen;9.4;2000;4.791.546;52.383.113;POINT(52.383113,4.791546)
975;Wonen;9.4;2000;4.871.417;52.342.842;POINT(52.342842,4.871417)
976;Wonen;9.4;2000;4.831.901;52.368.174;POINT(52.368174,4.831901)
977;Wonen;6;1000;4.859.177;52.351.742;POINT(52.351742,4.859177)
978;Wonen;9.4;2000;4.994.109;52.300.657;POINT(52.300657,4.994109)
979;Wonen;12;3000;4.862.854;52.369.577;POINT(52.369577,4.862854)
980;Wonen;9.4;2000;4.980.982;52.326.822;POINT(52.326822,4.980982)
981;NietWonen;9.4;2000;5.002.338;523.511;POINT(52.3511,5.002338)
982;Wonen;9.4;2000;4.985.668;52.324.357;POINT(52.324357,4.985668)
983;Wonen;9.4;2000;4.940.727;52.353.573;POINT(52.353573,4.940727)
984;Wonen;16;4000;4.990.676;52.356.541;POINT(52.356541,4.990676)
985;Wonen;20;5000;4.932.164;52.362.491;POINT(52.362491,4.932164)
986;Wonen;9.4;2000;4.820.036;52.374.449;POINT(52.374449,4.820036)
987;NietWonen;9.4;2000;500.788;52.351.004;POINT(52.351004,5.00788)
988;Wonen;9.4;2000;4.780.982;52.349.328;POINT(52.349328,4.780982)
989;Wonen;9.4;2000;4.995.385;52.353.023;POINT(52.353023,4.995385)
990;Wonen;9.4;2000;4.946.144;52.399.477;POINT(52.399477,4.946144)
991;Wonen;9.4;2000;495.656;52.318.192;POINT(52.318192,4.95656)
992;Wonen;9.4;2000;4.796.626;52.382.995;POINT(52.382995,4.796626)
993;Wonen;9.4;2000;4.931.012;52.394.276;POINT(52.394276,4.931012)
994;Wonen;9.4;2000;4.812.935;52.342.729;POINT(52.342729,4.812935)
995;NietWonen;9.4;2000;5.002.399;52.351.069;POINT(52.351069,5.002399)
996;Wonen;9.4;2000;478.495;52.347.357;POINT(52.347357,4.78495)
997;Wonen;9.4;2000;4.980.988;52.327.488;POINT(52.327488,4.980988)
998;NietWonen;19;5000;4.857.981;52.380.786;POINT(52.380786,4.857981)
999;Wonen;13;3000;4.820.567;52.354.034;POINT(52.354034,4.820567)
1000;Wonen;4;1000;4.942.228;52.364.238;POINT(52.364238,4.942228)
1001;Wonen;57;14000;4.880.198;52.418.181;POINT(52.418181,4.880198)
1002;Wonen;9.4;2000;4.957.438;52.388.126;POINT(52.388126,4.957438)
1003;Wonen;3;1000;4.940.305;52.355.529;POINT(52.355529,4.940305)
1004;Wonen;9.4;2000;4.992.317;52.301.086;POINT(52.301086,4.992317)
1005;Wonen;9.4;2000;4.972.666;52.300.682;POINT(52.300682,4.972666)
1006;Wonen;9.4;2000;4.981.107;52.296.629;POINT(52.296629,4.981107)
1007;Wonen;9.4;2000;4.969.001;52.304.107;POINT(52.304107,4.969001)
1008;Wonen;9.4;2000;4.861.063;52.326.195;POINT(52.326195,4.861063)
1009;Wonen;9.4;2000;4.774.652;52.351.886;POINT(52.351886,4.774652)
1010;NietWonen;36;9000;4.830.985;52.380.515;POINT(52.380515,4.830985)
1011;NietWonen;191;48000;4.936.078;52.377.523;POINT(52.377523,4.936078)
1012;NietWonen;9.4;2000;4.820.757;52.355.247;POINT(52.355247,4.820757)
1013;NietWonen;130;33000;4.981.804;52.324.866;POINT(52.324866,4.981804)
1014;Wonen;9.4;2000;4.999.321;52.351.968;POINT(52.351968,4.999321)
1015;Wonen;9.4;2000;4.886.875;52.324.162;POINT(52.324162,4.886875)
1016;NietWonen;127;31000;4.927.246;52.364.371;POINT(52.364371,4.927246)
1017;Wonen;9.4;2000;4.778.428;52.348.835;POINT(52.348835,4.778428)
1018;NietWonen;28;7000;4.764.352;52.395.627;POINT(52.395627,4.764352)
1019;Wonen;9.4;2000;4.820.524;52.374.903;POINT(52.374903,4.820524)
1020;NietWonen;204;50000;4.860.308;52.379.392;POINT(52.379392,4.860308)
1021;Wonen;3;1000;4.940.482;52.390.576;POINT(52.390576,4.940482)
1022;Wonen;9.4;2000;4.815.633;5.234.858;POINT(52.34858,4.815633)
1023;Wonen;9.4;2000;4.971.198;52.301.413;POINT(52.301413,4.971198)
1024;Wonen;9.4;2000;4.937.475;52.391.971;POINT(52.391971,4.937475)
1025;Wonen;9.4;2000;4.998.566;52.300.942;POINT(52.300942,4.998566)
1026;Wonen;23;6000;4.799.836;52.380.856;POINT(52.380856,4.799836)
1027;Wonen;9.4;2000;4.995.244;52.294.019;POINT(52.294019,4.995244)
1028;Wonen;9.4;2000;49.679;52.304.601;POINT(52.304601,4.9679)
1029;Wonen;9.4;2000;4.943.387;52.372.987;POINT(52.372987,4.943387)
1030;Wonen;9.4;2000;4.825.144;52.361.987;POINT(52.361987,4.825144)
1031;Wonen;12;3000;484.907;52.368.836;POINT(52.368836,4.84907)
1032;Wonen;9.4;2000;49.439;52.402.752;POINT(52.402752,4.9439)
1033;Wonen;9.4;2000;4.969.676;52.301.783;POINT(52.301783,4.969676)
1034;Wonen;9.4;2000;4.998.993;52.298.537;POINT(52.298537,4.998993)
1035;Wonen;9.4;2000;4.825.804;52.343.754;POINT(52.343754,4.825804)
1036;Wonen;9.4;2000;499.752;52.350.642;POINT(52.350642,4.99752)
1037;Wonen;8;2000;492.569;52.343.491;POINT(52.343491,4.92569)
1038;NietWonen;7;2000;4.861.014;52.340.768;POINT(52.340768,4.861014)
1039;Wonen;9.4;2000;4.969.558;52.303.586;POINT(52.303586,4.969558)
1040;Wonen;9.4;2000;4.898.755;52.338.931;POINT(52.338931,4.898755)
1041;Wonen;9.4;2000;4.897.612;52.416.371;POINT(52.416371,4.897612)
1042;Wonen;9.4;2000;493.342;52.344.775;POINT(52.344775,4.93342)
1043;Wonen;2;1000;4.866.737;5.237.383;POINT(52.37383,4.866737)
1044;Wonen;9.4;2000;482.575;52.342.931;POINT(52.342931,4.82575)
1045;Wonen;9.4;2000;4.789.697;52.348.334;POINT(52.348334,4.789697)
1046;NietWonen;584;143000;4.922.485;52.404.689;POINT(52.404689,4.922485)
1047;Wonen;9.4;2000;4.823.277;52.343.541;POINT(52.343541,4.823277)
1048;Wonen;4;1000;4.945.197;52.320.381;POINT(52.320381,4.945197)
1049;Wonen;10;2000;4.884.293;5.235.518;POINT(52.35518,4.884293)
1050;Wonen;9.4;2000;4.899.555;52.322.101;POINT(52.322101,4.899555)
1051;Wonen;9.4;2000;4.895.973;52.338.794;POINT(52.338794,4.895973)
1052;Wonen;9.4;2000;4.898.475;52.338.435;POINT(52.338435,4.898475)
1053;Wonen;6;1000;4.888.878;5.235.603;POINT(52.35603,4.888878)
1054;Wonen;9.4;2000;4.991.069;52.301.084;POINT(52.301084,4.991069)
1055;NietWonen;9.4;2000;495.615;52.317.504;POINT(52.317504,4.95615)
1056;NietWonen;24;6000;4.801.219;52.382.221;POINT(52.382221,4.801219)
1057;Wonen;9.4;2000;4.801.484;52.346.547;POINT(52.346547,4.801484)
1058;Wonen;9.4;2000;4.873.929;52.352.714;POINT(52.352714,4.873929)
1059;Wonen;9.4;2000;4.953.424;5.239.788;POINT(52.39788,4.953424)
1060;Wonen;9.4;2000;4.809.418;52.343.816;POINT(52.343816,4.809418)
1061;NietWonen;23;6000;4.904.212;52.418.216;POINT(52.418216,4.904212)
1062;NietWonen;6;2000;4.861.916;52.346.817;POINT(52.346817,4.861916)
1063;Wonen;6;2000;4.884.679;52.350.151;POINT(52.350151,4.884679)
1064;NietWonen;31;8000;4.879.836;52.362.463;POINT(52.362463,4.879836)
1065;Wonen;9.4;2000;489.554;52.418.577;POINT(52.418577,4.89554)
1066;Wonen;8;2000;4.943.415;52.322.519;POINT(52.322519,4.943415)
1067;Wonen;9.4;2000;4.881.097;52.348.173;POINT(52.348173,4.881097)
1068;Wonen;9.4;2000;4.987.785;52.357.451;POINT(52.357451,4.987785)
1069;Wonen;9.4;2000;4.828.766;52.366.391;POINT(52.366391,4.828766)
1070;Wonen;9.4;2000;4.921.158;52.413.964;POINT(52.413964,4.921158)
1071;Wonen;9.4;2000;4.976.358;52.290.948;POINT(52.290948,4.976358)
1072;Wonen;9.4;2000;5.026.765;52.413.869;POINT(52.413869,5.026765)
1073;Wonen;9.4;2000;4.971.561;52.295.625;POINT(52.295625,4.971561)
1074;Wonen;9.4;2000;4.929.438;52.409.153;POINT(52.409153,4.929438)
