subject,region_name,regio_type,region_code,lon,lat
Slotermeer Zuid,Amsterdam,Buurt,BU03637700,4.827684074850401,52.3761141761753
Noordoever Sloterplas,Amsterdam,Buurt,BU03637701,4.82660808447219,52.3728722350842
Buurt 4 Oost,Amsterdam,Buurt,BU03637702,4.815849016238991,52.381526075872095
Buurt 5 Noord,Amsterdam,Buurt,BU03637703,4.814292992810629,52.3776822410676
Sloterpark,Amsterdam,Buurt,BU03637704,4.81441725757184,52.3680112913286
Buurt 5 Zuid,Amsterdam,Buurt,BU03637705,4.813048213800251,52.3742409940022
Geuzenveld,Amsterdam,Wijk,WK036378,4.80195040148316,52.37899822782829
Buurt 6,Amsterdam,Buurt,BU03637800,4.8038782021505195,52.3752020259286
Buurt 7,Amsterdam,Buurt,BU03637801,4.7962798681376,52.3761330632234
Buurt 8,Amsterdam,Buurt,BU03637802,4.8037572097293895,52.378692081870604
Buurt 9,Amsterdam,Buurt,BU03637803,4.8009668990500804,52.382334556334
Eendrachtspark,Amsterdam,Buurt,BU03637804,4.80980584283802,52.3826531771696
Eendracht,Amsterdam,Wijk,WK036379,4.77876742300876,52.379161412884706
Osdorper Binnenpolder,Amsterdam,Buurt,BU03637900,4.77692293713705,52.3788293323076
Buurt 10,Amsterdam,Buurt,BU03637901,4.79084893916648,52.381338213109295
Lutkemeer/Ookmeer,Amsterdam,Wijk,WK036380,4.7752123275124,52.3663351464499
Ookmeer,Amsterdam,Buurt,BU03638000,4.79948713196105,52.3693283033597
Osdorper Bovenpolder,Amsterdam,Buurt,BU03638001,4.77610590668696,52.370486390339295
Bedrijvenpark Lutkemeer,Amsterdam,Buurt,BU03638002,4.76674678437636,52.360837423794095
Osdorp-Oost,Amsterdam,Wijk,WK036381,4.80722601533244,52.3580385257182
Wildeman,Amsterdam,Buurt,BU03638100,4.80060484795541,52.3624170836822
Meer en Oever,Amsterdam,Buurt,BU03638101,4.80668220684193,52.36391862621161
Osdorpplein e.o.,Amsterdam,Buurt,BU03638102,4.80566907763377,52.3584677500012
Calandlaan/Lelylaan,Amsterdam,Buurt,BU03638103,4.80845896093687,52.355684356774795
Osdorp Zuidoost,Amsterdam,Buurt,BU03638104,4.81225765804933,52.3535166009696
Osdorp-Midden,Amsterdam,Wijk,WK036382,4.79513254736193,52.3560204082513
Osdorp Midden Noord,Amsterdam,Buurt,BU03638200,4.79178363113569,52.36209528083221
Osdorp Midden Zuid,Amsterdam,Buurt,BU03638201,4.793601557796371,52.3588430116043
Zuidwestkwadrant Osdorp Noord,Amsterdam,Buurt,BU03638202,4.79557700054129,52.355543078528605
Zuidwestkwadrant Osdorp Zuid,Amsterdam,Buurt,BU03638203,4.79763321497098,52.3512449716615
De Punt,Amsterdam,Wijk,WK036383,4.78506584954275,52.357209739360705
De Punt,Amsterdam,Buurt,BU03638300,4.78514957610363,52.3563663870717
Bedrijvencentrum Osdorp,Amsterdam,Buurt,BU03638301,4.78468932553682,52.360671914502
Middelveldsche Akerpolder,Amsterdam,Wijk,WK036384,4.78278073378632,52.3497328523579
Middelveldsche Akerpolder,Amsterdam,Buurt,BU03638400,4.78040305108289,52.3535322907292
De Aker West,Amsterdam,Buurt,BU03638401,4.77631514063381,52.350474365531795
De Aker Oost,Amsterdam,Buurt,BU03638402,4.7891166429453795,52.347274623199795
Slotervaart Noord,Amsterdam,Wijk,WK036385,4.82552236792145,52.363413177229496
Oostoever Sloterplas,Amsterdam,Buurt,BU03638500,4.827321764910169,52.3670391700835
Emanuel van Meterenbuurt,Amsterdam,Buurt,BU03638501,4.82075772422971,52.36076487333511
Jacob Geelbuurt,Amsterdam,Buurt,BU03638502,4.830557206079111,52.3609201964656
Overtoomse Veld,Amsterdam,Wijk,WK036386,4.84128507186953,52.3646868983115
Overtoomse Veld Noord,Amsterdam,Buurt,BU03638600,4.83797843160587,52.36682292979629
Overtoomse Veld Zuid,Amsterdam,Buurt,BU03638601,4.83816267083242,52.36170585839189
Rembrandtpark Noord,Amsterdam,Buurt,BU03638602,4.84595087407078,52.36679388461221
Rembrandtpark Zuid,Amsterdam,Buurt,BU03638603,4.84579119444236,52.3611634206345
Johan Jongkindbuurt,Amsterdam,Buurt,BU03638604,4.838293032709419,52.358624112179605
Lucas/Andreasziekenhuis e.o.,Amsterdam,Buurt,BU03638605,4.83867035780656,52.3710836935744
Westlandgracht,Amsterdam,Wijk,WK036387,4.83987048326759,52.34935323125179
Koningin Wilhelminaplein,Amsterdam,Buurt,BU03638700,4.838350521144361,52.35403702523621
Andreasterrein,Amsterdam,Buurt,BU03638701,4.8450807073467805,52.3558196281874
Delflandpleinbuurt Oost,Amsterdam,Buurt,BU03638702,4.84360765954158,52.348760756257896
Delflandpleinbuurt West,Amsterdam,Buurt,BU03638703,4.837986273364151,52.349097160976804
Riekerhaven,Amsterdam,Buurt,BU03638704,4.83895392742595,52.341932625528
Schipluidenbuurt,Amsterdam,Buurt,BU03638705,4.83834465619535,52.3570117148122
Sloter-/Riekerpolder,Amsterdam,Wijk,WK036388,4.816743749660049,52.3396111089422
Riekerpolder,Amsterdam,Buurt,BU03638800,4.82903764967785,52.3412500194511
Park Haagseweg,Amsterdam,Buurt,BU03638801,4.8245104645895305,52.343516632386894
Nieuwe Meer,Amsterdam,Buurt,BU03638802,4.82457552595482,52.3341696064499
Sloterweg e.o.,Amsterdam,Buurt,BU03638803,4.80889588827653,52.3390541441874
Nieuw Sloten Noordwest,Amsterdam,Buurt,BU03638804,4.804583076924629,52.34763660770929
Nieuw Sloten Noordoost,Amsterdam,Buurt,BU03638805,4.815440333533361,52.3490434433452
Belgiëplein e.o.,Amsterdam,Buurt,BU03638806,4.8118797669089695,52.3456088176828
Nieuw Sloten Zuidwest,Amsterdam,Buurt,BU03638807,4.8059485953434,52.343620255034104
Nieuw Sloten Zuidoost,Amsterdam,Buurt,BU03638808,4.81717811248782,52.34435999971151
Dorp Sloten,Amsterdam,Buurt,BU03638809,4.79724462091316,52.341482767253396
Slotervaart Zuid,Amsterdam,Wijk,WK036389,4.8271734291119,52.3518764658146
Louis Crispijnbuurt,Amsterdam,Buurt,BU03638900,4.82315798077713,52.3548640068859
Jacques Veldmanbuurt,Amsterdam,Buurt,BU03638901,4.83074396450538,52.35485922237601
Staalmanbuurt,Amsterdam,Buurt,BU03638902,4.83088686079601,52.3487235021632
Medisch Centrum Slotervaart,Amsterdam,Buurt,BU03638903,4.82454533184523,52.3484982049214
Buitenveldert-West,Amsterdam,Wijk,WK036390,4.85609406190225,52.3294000472869
Gelderlandpleinbuurt,Amsterdam,Buurt,BU03639000,4.87408591174631,52.3320871213916
Buitenveldert Midden Zuid,Amsterdam,Buurt,BU03639002,4.87400179044605,52.3257489994322
Buitenveldert Zuidwest,Amsterdam,Buurt,BU03639003,4.86239332290206,52.3257272964987
Amsterdamse Bos,Amsterdam,Buurt,BU03639004,4.83769867248535,52.330584190304
Buitenveldert West Midden,Amsterdam,Buurt,BU03639008,4.8624201070885595,52.3310361006064
Zuiderhof,Amsterdam,Buurt,BU03639009,4.85477771440133,52.336566500425604
Buitenveldert-Oost,Amsterdam,Wijk,WK036391,4.8880290247318205,52.328602592821795
De Klenckebuurt,Amsterdam,Buurt,BU03639100,4.88429355538331,52.334004754058704
Buitenveldert Oost Midden,Amsterdam,Buurt,BU03639101,4.88472129648138,52.3312606116992
Buitenveldert Zuidoost,Amsterdam,Buurt,BU03639102,4.88487444055076,52.325544646910295
Amstelpark,Amsterdam,Buurt,BU03639103,4.89374175830799,52.329275437509004
Amstel III/Bullewijk,Amsterdam,Wijk,WK036392,4.95013710026029,52.296724888702606
Hoofdcentrum Zuidoost,Amsterdam,Buurt,BU03639200,4.94071615137596,52.313848031246
Amstel III deel A/B Noord,Amsterdam,Buurt,BU03639201,4.946710401724309,52.3060259865944
Amstel III deel C/D Noord,Amsterdam,Buurt,BU03639202,4.937760003951969,52.30461609979071
Amstel III deel A/B Zuid,Amsterdam,Buurt,BU03639203,4.9533409792930305,52.2987990188258
Amstel III deel C/D Zuid,Amsterdam,Buurt,BU03639204,4.94521501270484,52.2960080449211
